"Survey","Zipcode","Race","Hal.Harmful","Hal.Addictive","MDMA.Harmful","MDMA.Addictive","GHB.Harmful","GHB.Addictive","ID.Q1","ID.Q2","ID.Q3"
"Pre","90034","Hispanic or Latino","5","5","5","5","4","4","Ern ","Pink ","4"
"Pre","90034","Not Hispanic or Latino","5","5","5","4","3","3","Azz","red","9"
"Pre","90034","Hispanic or Latino","5","5","5","4","3","3","Her","Red ","Don’t have one "
"Pre","90016","Hispanic or Latino","1","1","4","4","1","1","Gle","Blue ","9"
"Pre","90019","Hispanic or Latino","5","4","4","4","4","4","Are","Blue ","Don't have one."
"Pre","90302","Hispanic or Latino","3","4","4","4","4","5","Ter ","Red","7"
"Pre","90004","Hispanic or Latino","5","5","4","4","4","4","Ime","Blue","12"
"Pre","90016","Hispanic or Latino","2","3","2","3","2","2","Bre ","Red","7"
"Pre","90034","Hispanic or Latino","4","4","4","3","3","2","Cri","Yellow ","5"
"Pre","90034","Hispanic or Latino","4","4","4","4","3","3","Nor","Blue","5"
"Pre","90016","Hispanic or Latino","2","3","3","3","3","3","jua","blue","13"
"Pre","90026","Not Hispanic or Latino","5","5","5","5","4","5","sha ","white","17"
"Pre","90034","Hispanic or Latino","4","5","4","1","4","4","Ros ","Green","13"
"Pre","90018","Not Hispanic or Latino","4","3","3","3","3","3","Ami","Blue","4"
"Pre","90019","Hispanic or Latino","3","3","3","3","4","3","Ora ","Blue","8"
"Pre","90036","Not Hispanic or Latino","4","4","5","5","3","3","Mic","Irrelevant ","11811"
"Pre","90038","Hispanic or Latino","5","5","5","5","4","5","Mir ","Blue","27"
"Pre","90004","Hispanic or Latino","5","5","5","5","5","5","Mar","Red","17"
"Pre","91352","Not Hispanic or Latino","5","5","4","5","3","3","Jac","Black and blue","7"
"Pre","90004","Hispanic or Latino","5","5","5","4","5","5","Mar","Blue","22"
"Pre","91352","Hispanic or Latino","3","3","5","5","3","3","Mar","Blue","24"
"Pre","90019","Hispanic or Latino","4","4","4","4","3","3","Con","Blue","5"
"Pre","90016","Hispanic or Latino","5","3","5","5","5","5","Mar","Purple ","4"
